,Draw Date,Amount,cash prize,Location,State,Gender,Win,Jackpot,Unnamed: 2
0,2021-10-22,108000000,75200000.0,lake havasu city AZ,AZ,Mixed,Y,Y,
1,2021-09-21,431000000,314400000.0,Manhattan NY,NY,Unk,Y,Y,
2,2021-09-07,55000000,38000000.0,crestwood IL,IL,Unk,Y,Y,
3,2021-05-21,516000000,349300000.0,Bucks County,PA,Unk,Y,Y,
4,2021-02-23,1050000000,766600000.0,Oakland County MI,MI,Unk,Y,Y,
5,2021-02-16,96000000,68500000.0,Blossvale NY,NY,Mixed,Y,Y,
6,2021-01-22,1050000000,776600000.0,Oakland County, MI,Unk,Y,Y,
7,2020-09-15,120000000,95400000.0," Racine, Wis",WI,M,Y,Y,
8,2020-07-31,22000000,17900000.0,"Mira Loma, Calif",CA,M,Y,Y,
9,2020-07-24,123000000,100100000.0,"Bayonne, N.J",NJ,Unk,Y,Y,
10,2020-06-09,414000000,319900000.0,"Glendale, Ariz",AZ,Unk,Y,Y,
11,2020-02-11,202000000,142600000.0,Edison NJ,NJ,Unk,Y,Y,
12,2019-12-17,375000000,253500000.0,OH,OH,Unk,Y,Y,
13,2019-09-24,225000000,157000000.0,"Leander, Texas",TX,Unk,Y,Y,
14,2019-07-23,168000000,108500000.0,"Portsmouth, N.H",NH,Unk,Y,Y,
15,2019-06-07,522000000,340000000.0,"San Diego, Calif",CA,F,Y,Y,
16,2019-03-12,50000000,30200000.0,"Kansas City, Mo.",MO,M,Y,Y,
17,2019-03-01,273000000,162600000.0,"Alpha, N.J",NJ,M,Y,Y,
18,2019-01-01,437000000,262200000.0,"Long Island, N.Y",NY,Mixed,Y,Y,
19,2018-10-23,15370000000,,south carolina,SC,Unk,Y,Y,
20,2018-07-24,543000000,,Santa Clara County (Calif.),CA,Mixed,Y,Y,
21,2018-05-04,142000000,,"Moraine, Ohio",OH,Unk,Y,Y,
22,2018-03-30,533000000,,"Vernon, N.J.",NJ,M,Y,Y,
23,2018-01-05,451000000,,"Port Richey, Fl",FL,Unk,Y,Y,
24,2017-10-13,21000000,,"Waterford, MI ",MI,Mixed,Y,Y,
25,2017-10-13,21000000,,"Providence, R.I.",RI,M,Y,Y,
26,2017-09-22,105000000,,"Homer, N.Y.",NY,M,Y,Y,
27,2017-08-11,393000000,,"Palos Heights, Ill.",IL,F,Y,Y,
28,2017-04-28,61000000,,"Laguna Hills, Calif.",CA,M,Y,Y,
29,2017-03-31,177000000,,"Stuttgart, Ark",AK,M,Y,Y,
30,2017-01-27,191000000,,"Nipton, Ca",CA,M,Y,Y,
31,2016-11-18,83000000,,Georgia,GA,Unk,Y,Y,
32,2016-10-11,49000000,,"Rockwall, Texas",TX,Unk,Y,Y,
33,2016-09-16,134000000,,"Tuscola, Il",IL,Unk,Y,Y,
34,2016-07-22,7500000,,"Bristow, Va",VA,M,Y,Y,
35,2016-07-22,7500000,," Dallas, Ga",GA,F,Y,Y,
36,2016-07-19,25000000,,Washington,WA,Unk,Y,Y,
37,2016-07-08,536000000,,Cambridge City,IN,Unk,Y,Y,
38,2016-03-08,157000000,,"Seattle, Wash.",WA,M,Y,Y,
