Draw Date,Month,Day,Year,Weekday,Weekday,Quarter,Winning Numbers,Mega Ball,Multiplier,First,Second,Third,Fourth,Fifth
9/25/2020,9,25,2020,Fri,1,3,20 36 37 48 67,16,2,20,36,37,48,67
9/29/2020,9,29,2020,Tue,0,3,14 39 43 44 67,19,3,14,39,43,44,67
10/2/2020,10,2,2020,Fri,1,4,09 38 47 49 68,25,2,9,38,47,49,68
10/6/2020,10,6,2020,Tue,0,4,15 16 18 39 59,17,3,15,16,18,39,59
10/9/2020,10,9,2020,Fri,1,4,05 11 25 27 64,13,2,5,11,25,27,64
10/13/2020,10,13,2020,Tue,0,4,11 44 45 46 70,25,2,11,44,45,46,70
10/16/2020,10,16,2020,Fri,1,4,27 32 50 52 57,12,5,27,32,50,52,57
10/20/2020,10,20,2020,Tue,0,4,46 54 57 58 66,10,3,46,54,57,58,66
10/23/2020,10,23,2020,Fri,1,4,18 34 44 60 69,22,2,18,34,44,60,69
10/27/2020,10,27,2020,Tue,0,4,06 13 34 46 62,1,3,6,13,34,46,62
10/30/2020,10,30,2020,Fri,1,4,14 19 34 39 59,11,2,14,19,34,39,59
11/3/2020,11,3,2020,Tue,0,4,07 31 44 45 55,19,3,7,31,44,45,55
11/6/2020,11,6,2020,Fri,1,4,18 24 27 34 60,2,2,18,24,27,34,60
11/10/2020,11,10,2020,Tue,0,4,23 45 53 58 62,13,5,23,45,53,58,62
11/13/2020,11,13,2020,Fri,1,4,06 07 14 28 59,7,2,6,7,14,28,59
11/17/2020,11,17,2020,Tue,0,4,08 13 35 46 68,16,3,8,13,35,46,68
11/20/2020,11,20,2020,Fri,1,4,26 33 45 61 68,17,3,26,33,45,61,68
11/24/2020,11,24,2020,Tue,0,4,09 15 34 61 64,6,2,9,15,34,61,64
11/27/2020,11,27,2020,Fri,1,4,04 10 27 35 58,10,2,4,10,27,35,58
12/1/2020,12,1,2020,Tue,0,4,07 33 53 61 65,14,2,7,33,53,61,65
12/4/2020,12,4,2020,Fri,1,4,03 19 24 44 50,8,3,3,19,24,44,50
12/8/2020,12,8,2020,Tue,0,4,15 19 33 39 68,25,3,15,19,33,39,68
12/11/2020,12,11,2020,Fri,1,4,19 31 37 55 67,25,4,19,31,37,55,67
12/15/2020,12,15,2020,Tue,0,4,01 10 18 20 46,15,2,1,10,18,20,46
12/18/2020,12,18,2020,Fri,1,4,07 15 25 51 60,5,3,7,15,25,51,60
12/22/2020,12,22,2020,Tue,0,4,29 53 56 59 67,21,2,29,53,56,59,67
12/25/2020,12,25,2020,Fri,1,4,17 23 36 69 70,19,2,17,23,36,69,70
12/29/2020,12,29,2020,Tue,0,4,01 31 35 48 62,19,3,1,31,35,48,62
1/1/2021,1,1,2021,Fri,1,1,08 24 53 68 69,7,5,8,24,53,68,69
1/5/2021,1,5,2021,Tue,0,1,20 43 51 55 57,4,2,20,43,51,55,57
1/8/2021,1,8,2021,Fri,1,1,03 06 16 18 58,11,2,3,6,16,18,58
1/12/2021,1,12,2021,Tue,0,1,12 14 26 28 33,9,2,12,14,26,28,33
1/15/2021,1,15,2021,Fri,1,1,03 11 12 38 43,15,4,3,11,12,38,43
1/19/2021,1,19,2021,Tue,0,1,10 19 26 28 50,16,2,10,19,26,28,50
1/22/2021,1,22,2021,Fri,1,1,04 26 42 50 60,24,2,4,26,42,50,60
1/26/2021,1,26,2021,Tue,0,1,29 49 56 66 67,24,3,29,49,56,66,67
1/29/2021,1,29,2021,Fri,1,1,04 44 58 59 70,3,3,4,44,58,59,70
2/2/2021,2,2,2021,Tue,0,1,13 37 38 40 67,10,2,13,37,38,40,67
2/5/2021,2,5,2021,Fri,1,1,14 17 28 29 44,2,4,14,17,28,29,44
2/9/2021,2,9,2021,Tue,0,1,07 18 21 31 40,9,4,7,18,21,31,40
2/12/2021,2,12,2021,Fri,1,1,05 14 24 25 27,14,3,5,14,24,25,27
2/16/2021,2,16,2021,Tue,0,1,01 36 44 54 66,10,3,1,36,44,54,66
2/19/2021,2,19,2021,Fri,1,1,27 32 47 50 53,4,4,27,32,47,50,53
