Retailer,Name,Street,City,State,Zip,Quick Draw,Latitude,Longitude,Georeference
107039,K'S INN,73 FRONT ST,DEPOSIT,NY,13754,Y,42.059741,-75.429761,POINT (-75.429761 42.059741)
108993,GLENDALE GOURMET DELI INC,64-20 MYRTLE AVE,RIDGEWOOD,NY,11385,,40.699514,-73.911598,POINT (-73.911598 40.699514)
61998,WEBSTER VARIETY STORE INC,636 HALSTEAD AVE,MAMARONECK,NY,10543,Y,40.957434,-73.730839,POINT (-73.730839 40.957434)
76789,FREEPORT DELI & GRILL INC,63 BUFFALO AVE,FREEPORT,NY,11520,,40.64598,-73.569539,POINT (-73.569539 40.64598)
111831,AMIGA DE CHINA SUPERMARKET,5707 4TH AVE,BROOKLYN,NY,11220,,40.642186,-74.01658,POINT (-74.01658 40.642186)
108475,NEWSTAND BABYLON,31 RAILROAD AVE TRAIN STATION,BABYLON,NY,11702,,40.699903,-73.324783,POINT (-73.324783 40.699903)
112391,SLIDERS FOOD MART,634 JAMES ST,CLAYTON,NY,13624,,44.236839,-76.085078,POINT (-76.085078 44.236839)
110532,AL-AMIN HALAL FISH MEAT AND GR,218-220 E BURNSIDE AVE,BRONX,NY,10457,,40.85175,-73.90314,POINT (-73.90314 40.85175)
104650,CROSBY'S #40061,5267 CLINTON ST RD,BATAVIA,NY,14020,Y,43.007987,-78.133547,POINT (-78.133547 43.007987)
89360,MILL BASIN CONVENIENCE STORE,6122 AVE U,BROOKLYN,NY,11234,Y,40.615025,-73.914499,POINT (-73.914499 40.615025)
90860,MOR-PARK FINE WINE & LIQUORS,1004 MORRIS PARK AVE,BRONX,NY,10462,Y,40.848066,-73.856039,POINT (-73.856039 40.848066)
74105,RITE AID #1511,2474 BAILEY AVE,BUFFALO,NY,14215,Y,42.922074,-78.813861,POINT (-78.813861 42.922074)
67809,LINCOLN ENERGY SERVICES INC,40 W LINCOLN AVE,MOUNT VERNON,NY,10550,,40.917355,-73.839823,POINT (-73.839823 40.917355)
101423,NSK PETROLEUM INC,2193 BEDFORD AVE,BROOKLYN,NY,11226,,40.650253,-73.955515,POINT (-73.955515 40.650253)
111128,7-ELEVEN #34532B,653 MONTAUK HIGHWAY,MONTAUK,NY,11954,,41.032397,-71.948271,POINT (-71.948271 41.032397)
105427,CAJ WINES & LIQUORS CORP,55 E TREMONT AVE,BRONX,NY,10453,,40.851273,-73.908333,POINT (-73.908333 40.851273)
94867,STEWART'S SHOPS #428,28715 RT 3,BLACK RIVER,NY,13612,,44.006128,-75.796315,POINT (-75.796315 44.006128)
75698,RITE AID #10846,420 HAMILTON STREET,GENEVA,NY,14456,Y,42.857589,-77.000629,POINT (-77.000629 42.857589)
45293,BYRNE DAIRY #65,175 ST RT 5 W,ELBRIDGE,NY,13060,Y,43.027775,-76.421599,POINT (-76.421599 43.027775)
107465,7 ELEVEN STORE #35185A,622 PARK AVE,ROCHESTER,NY,14607,Y,43.148435,-77.578905,POINT (-77.578905 43.148435)
99390,DONALD KAPLAN NEWSSTAND,605 BRIGHTON BEACH AVE,BROOKLYN,NY,11235,,40.57794,-73.961289,POINT (-73.961289 40.57794)
89549,PAY-O-MATIC CORP #237,5207 BROADWAY,BRONX,NY,10463,,40.874705,-73.909766,POINT (-73.909766 40.874705)
