Year,Month,Month Code,District Code,District,Number of Intercepts,Federally Participating Family Assistance Intercepts,Federally Participating Safety Net Non-Cash Intercepts,Federally Non-Participating Predetermined Grant/Aid to Dependent Children Intercepts,Federally Non-Participating Safety Net Cash Intercepts,Federally Non-Participating Safety Net Non-Cash Intercepts,Emergency Assistance for Families Intercepts,Excess Intercepts
2021,APRIL,4,1,Albany,14,3319.98,0,0,1200,802.78,2667.1,43223.58
2021,APRIL,4,2,Allegany,1,2500,0,0,0,0,0,7500
2021,APRIL,4,3,Broome,6,1619.72,0,0,1028,350,66.75,12070.65
2021,APRIL,4,4,Cattaraugus,0,0,0,0,0,0,0,0
2021,APRIL,4,5,Cayuga,2,5867.4,0,0,0,0,63.6,28362.76
2021,APRIL,4,6,Chautauqua,3,107,0,0,500,0,709,4788.28
2021,APRIL,4,7,Chemung,0,0,0,0,0,0,0,0
2021,APRIL,4,8,Chenango,1,1000,0,0,0,0,0,3000
2021,APRIL,4,9,Clinton,0,0,0,0,0,0,0,0
2021,APRIL,4,10,Columbia,3,946.82,0,0,1250,0,0,6590.45
2021,APRIL,4,11,Cortland,3,0,0,0,4519.03,5480.97,734.06,34500
2021,APRIL,4,12,Delaware,0,0,0,0,0,0,0,0
2021,APRIL,4,13,Dutchess,2,0,0,0,3750,0,0,11250
2021,APRIL,4,14,Erie,36,6472.96,0,0,17313.62,1823.84,1217.67,104020.08
2021,APRIL,4,15,Essex,0,0,0,0,0,0,0,0
2021,APRIL,4,16,Franklin,0,0,0,0,0,0,0,0
2021,APRIL,4,17,Fulton,1,0,0,0,0,0,67,1477.5
2021,APRIL,4,18,Genesee,3,1898.17,0,0,0,0,0,5694.5
2021,APRIL,4,19,Greene,0,0,0,0,0,0,0,0
2021,APRIL,4,20,Hamilton,0,0,0,0,0,0,0,0
2021,APRIL,4,21,Herkimer,0,0,0,0,0,0,0,0
2021,APRIL,4,22,Jefferson,2,662,0,0,400,0,0,101862
2021,APRIL,4,23,Lewis,0,0,0,0,0,0,0,0
2021,APRIL,4,24,Livingston,5,421.92,0,0,1005,1103,0,10585.36
2021,APRIL,4,25,Madison,0,0,0,0,0,0,0,0
2021,APRIL,4,26,Monroe,85,13237.08,1945.2,0,17177.64,15153.11,2678.53,187848.76
2021,APRIL,4,27,Montgomery,3,469,0,0,245.8,0,371,13214.8
2021,APRIL,4,28,Nassau,21,13501.08,0,0,6795.12,6304.25,638.5,96569.8
2021,APRIL,4,29,Niagara,0,0,0,0,0,0,0,0
2021,APRIL,4,30,Oneida,14,5107.66,233.74,0,2352.83,139.81,705.5,28065.93
2021,APRIL,4,31,Onondaga,6,2516.96,0,0,3700,0,0,22322.76
2021,APRIL,4,32,Ontario,10,2066.42,0,0,1292,400,732.6,16565.65
2021,APRIL,4,33,Orange,3,269.61,0,0,1500,0,331.63,6216.21
2021,APRIL,4,34,Orleans,5,976.7,0,0,1022,0,60,9638.71
2021,APRIL,4,35,Oswego,3,0,0,0,2080,420.81,0,10342.42
2021,APRIL,4,36,Otsego,0,0,0,0,0,0,0,0
2021,APRIL,4,37,Putnam,0,0,0,0,0,0,0,0
2021,APRIL,4,38,Rensselaer,9,1360,0,0,2361.5,960.38,225,19260.86
2021,APRIL,4,39,Rockland,6,528.75,0,0,720.35,1018.35,311,8213.71
2021,APRIL,4,40,St. Lawrence,0,0,0,0,0,0,0,0
2021,APRIL,4,41,Saratoga,2,536.65,0,0,545,0,0,3298.95
2021,APRIL,4,42,Schenectady,8,922.95,0,0,589.7,384.75,2164.09,16571.79
2021,APRIL,4,43,Schoharie,1,0,0,0,0,407.82,0,1223.45
2021,APRIL,4,44,Schuyler,0,0,0,0,0,0,0,0
2021,APRIL,4,45,Seneca,1,0,0,0,449.2,0,0,1347.6
2021,APRIL,4,46,Steuben,1,451,0,0,0,0,0,3352
2021,APRIL,4,47,Suffolk,72,20351.04,0,0,15249.44,10317.59,3733.13,189330.12
2021,APRIL,4,48,Sullivan,0,0,0,0,0,0,0,0
2021,APRIL,4,49,Tioga,0,0,0,0,0,0,0,0
2021,APRIL,4,50,Tompkins,2,0,0,0,400,423,0,2469
2021,APRIL,4,51,Ulster,2,0,0,0,2250,0,0,6750
2021,APRIL,4,52,Warren,1,0,0,0,0,2500,0,7500
2021,APRIL,4,53,Washington,0,0,0,0,0,0,0,0
2021,APRIL,4,54,Wayne,5,3245,0,0,705.63,0,0,11999.38
2021,APRIL,4,55,Westchester,44,5310.32,0,0,11998.19,4356.92,3670.96,98513.39
2021,APRIL,4,56,Wyoming,3,938.74,0,0,0,0,89.45,3616.44
2021,APRIL,4,57,Yates,0,0,0,0,0,0,0,0
2021,APRIL,4,66,New York City,852,137548.3,0,22,334183.46,44847.2,68550.32,2086185.81
2021,MARCH,3,1,Albany,6,1928.36,0,0,243,5966,613,0
2021,MARCH,3,2,Allegany,1,0,0,0,113,0,0,0
2021,MARCH,3,3,Broome,4,165,0,0,2373.5,1762,285,0
2021,MARCH,3,4,Cattaraugus,0,0,0,0,0,0,0,0
2021,MARCH,3,5,Cayuga,2,1250,0,0,706.32,0,0,0
2021,MARCH,3,6,Chautauqua,1,0,0,0,0,0,79,0
2021,MARCH,3,7,Chemung,2,69,0,0,575,0,0,0
2021,MARCH,3,8,Chenango,0,0,0,0,0,0,0,0
2021,MARCH,3,9,Clinton,2,146,0,0,255,0,0,0
2021,MARCH,3,10,Columbia,1,0,0,0,485.25,0,0,0
2021,MARCH,3,11,Cortland,2,0,0,0,361.5,0,108,0
2021,MARCH,3,12,Delaware,1,0,0,0,0,0,375,0
2021,MARCH,3,13,Dutchess,3,0,0,0,1350,400,0,0
2021,MARCH,3,14,Erie,40,12273.69,0,0,8171.89,5571.12,168.15,0
2021,MARCH,3,15,Essex,1,0,0,0,350,0,0,0
2021,MARCH,3,16,Franklin,0,0,0,0,0,0,0,0
2021,MARCH,3,17,Fulton,4,927,0,0,347.67,0,572,0
2021,MARCH,3,18,Genesee,0,0,0,0,0,0,0,0
2021,MARCH,3,19,Greene,1,475,0,0,0,0,0,0
2021,MARCH,3,20,Hamilton,1,420.66,0,0,0,0,0,0
2021,MARCH,3,21,Herkimer,0,0,0,0,0,0,0,0
2021,MARCH,3,22,Jefferson,2,450,0,0,312.5,0,0,0
2021,MARCH,3,23,Lewis,0,0,0,0,0,0,0,0
2021,MARCH,3,24,Livingston,11,3320.92,0,0,667.42,6.66,500,0
2021,MARCH,3,25,Madison,3,0,0,0,154,307.24,208,0
2021,MARCH,3,26,Monroe,95,15012.3,1319.92,0,21926.06,11152.81,6415.67,0
2021,MARCH,3,27,Montgomery,1,0,0,0,0,0,393.5,0
2021,MARCH,3,28,Nassau,24,2989.53,0,0,9352.12,260.25,665,0
2021,MARCH,3,29,Niagara,3,311.33,0,0,1250,0,409.67,0
2021,MARCH,3,30,Oneida,9,688.08,0,0,927.77,58,856.05,0
2021,MARCH,3,31,Onondaga,3,300.49,0,0,1250,0,0,0
2021,MARCH,3,32,Ontario,8,915.85,0,0,1451.13,0,304.75,138.25
2021,MARCH,3,33,Orange,9,2211.69,0,0,1111,2532.5,318,0
2021,MARCH,3,34,Orleans,1,500,0,0,0,0,0,0
