Date, amount  won ,cash prize,location,state,gender
10/22/2021,108000000,75200000,lake havasu city AZ,AZ,Mixed
9/21/2021,431000000,314400000,Manhattan NY,NY,Unk
9/8/2021,55000000,38000000,crestwood IL,IL,Unk
5/21/2021,516000000,349300000,PA,PA,Unk
2/16/2021,96000000,68500000,Blossvale NY,NY,Mixed
2/22/2021,1050000000,766600000,Oakland County MI,MI,Unk
9/15/2020,120000000,95400000," Racine, Wis",WI,M
7/31/2020,22000000,17900000,"Mira Loma, Calif",CA,M
7/24/2020,123000000,100100000,"Bayonne, N.J",NJ,Unk
6/9/2020,414000000,319900000,"Glendale, Ariz",AZ,Unk
2/11/2020,202000000,142600000,Edison NJ,NJ,Unk
12/17/2019,375000000,253500000,OH,OH,Unk
9/24/2019,225000000,157000000,"Leander, Texas",TX,Unk
7/23/2019,168000000,108500000,"Portsmouth, N.H",NH,Unk
6/7/2019,522000000,340000000,"San Diego, Calif",CA,F
3/12/2019,50000000,30200000,"Kansas City, Mo.",MO,M
3/1/2019,273000000,162600000,"Alpha, N.J",NJ,M
1/1/2019,437000000,262200000,"Long Island, N.Y",NY,Mixed
10/23/2018,15370000000,,south carolina,SC,Unk
7/24/2018,543000000,,Santa Clara County (Calif.),CA,Mixed
5/4/2018,142000000,,"Moraine, Ohio",OH,Unk
3/30/2018,533000000,,"Vernon, N.J.",NJ,M
1/5/2018,451000000,,"Port Richey, Fl",FL,Unk
10/13/2017,21000000,,"Waterford, MI ",MI,Mixed
10/13/2017,21000000,,"Providence, R.I.",RI,M
9/22/2017,105000000,,"Homer, N.Y.",NY,M
8/11/2017,393000000,,"Palos Heights, Ill.",IL,F
4/28/2017,61000000,,"Laguna Hills, Calif.",CA,M
3/31/2017,177000000,,"Stuttgart, Ark",AK,M
1/27/2017,191000000,,"Nipton, Ca",CA,M
11/18/2016,83000000,,Georgia,GA,Unk
10/11/2016,49000000,,"Rockwall, Texas",TX,Unk
9/16/2016,134000000,,"Tuscola, Il",IL,Unk
7/22/2016,7500000,,"Bristow, Va",VA,M
7/22/2016,7500000,," Dallas, Ga",GA,F
7/19/2016,25000000,,Washington,WA,Unk
7/8/2016,536000000,,Indiana,IN,Unk
3/8/2016,157000000,,"Seattle, Wash.",WA,M
1/8/2016,169000000,,"Staten Island, N.Y.",NY,F
11/13/2015,202000000,,"Columbus, Oh",OH,Mixed
9/11/2015,106000000,,"Yonkers, N.Y., and Basking Ridge, N.J.",,Mixed
7/31/2015,25000000,,"McDonald County, Mo",MO,Unk
7/21/2015,153000000,,"Mechanicsville, Va.; ticket bought in Milton, Penn.",PA,M
6/2/2015,262000000,,"Blue Island, Il",IL,M
3/24/2015,58000000,,"Manhattan, N.Y",NY,Unk
2/27/2015,126000000,,"South Fallsburg, N.Y.",NY,F
1/16/2015,265000000,,"Naperville, Il",IL,M
11/4/2014,326000000,,"Wurtsboro, N.Y",NY,M
8/22/2014,180000000,,"Calimesa, Ca",CA,M
6/27/2014,33000000,,"Houston, Texas",TX,Mixed
6/13/2014,66000000,,"Port Huron, Mi",MI,F
5/20/2014,149000000,,"Pittsburgh, Penn.",PA,M
4/4/2014,30000000,,"Los Angeles, Ca",CA,M
3/25/2014,20000000,,"Suffolk County, N.Y",NY,M
3/18/2014,207000000,,"Merritt Island, Fl ",FL,Mixed
3/18/2014,207000000,,"La Plata, Md",MD,Unk
1/3/2014,61000000,,"Nashville, Tenn",TN,Mixed
12/17/2013,324000000,,Northern California ,CA,M
12/17/2013,324000000,,"Stone Mountain, Ga.",GA,M
10/1/2013,189000000,,"Anne Arundel County, Md.",MD,Unk
7/26/2013,19000000,,"Kearney, N.J.",NJ,Mixed
7/16/2013,20000000,,"Houston, Texas",TX,Unk
7/5/2013,80000000,,"Troy, Mi",MI,M
5/31/2013,30000000,,"Mays, N.J",NJ,Mixed
5/17/2013,99000000,,"Tinton Falls, N.J. ",NJ,M
5/17/2013,99000000,,"Cumberland, Va",VA,M
3/12/2013,41000000,,"Westlake, Oh",OH,Mixed
2/19/2013,26000000,,"Mount Airy, Md",MD,Unk
2/5/2013,19000000,,"Atlantic Mine, Mi",MI,F
1/25/2013,89000000,,"Orange, N.J",NJ,M
12/14/2012,35000000,,"Bellflower, Ca",CA,Unk
11/27/2012,50000000,,"Thomasville, Ga",GA,M
11/2/2012,33000000,,"Garden City Park, N.Y.",NY,M
10/16/2012,30500000,,"Fresno, Ca ",CA,M
10/16/2012,30500000,,"Hyannis, Ma",MA,M
9/18/2012,14000000,,"Morganville, N.J. & New York, N.Y.",,M
9/11/2012,120000000,,"Riverside, Ca",CA,M
7/27/2012,52000000,,"Fremont, Ca",CA,Mixed
7/3/2012,85000000,,"Staten Island, N.Y.",NY,F
5/29/2012,32000000,,"Pomona, Ca",CA,F
5/15/2012,25000000,,"Beverly Hills, Ca",CA,F
5/4/2012,118000000,,"Chicago, Il",IL,Unk
3/30/2012,218600000,,"Ottawa, Kan.",KS,Unk
3/30/2012,218600000,,"Red Bud, Il",IL,Mixed
3/30/2012,218600000,,"Milford Mill, Md.",MD,Mixed
1/24/2012,72000000,,"Atlanta, Ga",GA,F
