Draw Date,Prize,Gender,City,State
11/26/2021,2000000,M,Washtenaw County, MI
9/21/2021,30000,M,Baltimore, MD
8/31/2021,3000000,M,New Berlin, WI
8/20/2021,1000000,F,Newport News, VA
7/27/2021,3000000,Unk,Grand Strand, SC
6/8/2021,1000000,F,Urbana, IA
6/1/2021,1000000,F,Grand Rapids, MI
5/18/2021,2000000,M,Rhoadesville, VA
5/18/2021,1000000,Mixed,Newark, DE
3/30/2021,3000000,Unk,Fargo, ND
3/5/2021,1000000,Unk,Louisville, KY
2/12/2021,1000000,M,Matthews, NC
2/9/2021,40000,M,Crawfordsville, IN
2/2/2021,1000000,Unk,Kansas City, MO
1/22/2021,1050000000,Unk,Oakland County, MI
1/22/2021,20000,F,Riverside, RI
1/22/2021,2000000,F,Dryden, VA
1/15/2021,1000000,M,Hicksville, NY
1/15/2021,1000000,M,Eau Claire, WI
1/1/2021,50000,M,Woodbine, MD
11/17/2020,1000000,M,Christiansburg, VA
10/16/2020,1000000,Mixed,Tigard, OR
10/9/2020,2000000,Unk,Beaufort, SC
9/1/2020,1000000,M,Brooklyn, NY
7/14/2020,4000000,Unk,Malad City, ID
6/23/2020,1000000,M,Fredericksburg, VA
6/9/2020,2000000,Unk,Gautier, MS
5/29/2020,2000000,M,Queens, NY
4/21/2020,2000000,M,Charlotte, NC
2/21/2020,1000000,M,Tualatin, OR
1/14/2020,1000000,M,Virginia Beach, VA
12/17/2019,1000000,Unk,Eldora, IA
12/6/2019,50000,M,Newport, NC
10/29/2019,1000000,M,Suffolk, VA
10/11/2019,1000000,M,Park City, KY
8/27/2019,1000000,Mixed,Painted Post, NY
7/30/2019,3000000,M,Jacksonville, OR
6/11/2019,3000000,M,Farmington Hills, MI
6/4/2019,1000000,M,Coon Rapids, MN
5/28/2019,1000000,M,Oceanport, NJ
5/28/2019,2000000,M,Alexandria, VA
5/24/2019,2000000,M,East Elmhurst, NY
4/19/2019,1000000,F,Sioux City, IA
4/16/2019,1000000,M,Triangle, VA
3/22/2019,1000000,M,Millington, MI
2/26/2019,1000000,M,Tappan, NY
2/22/2019,1000000,M,Grand Ledge, MI
1/29/2019,1000000,F,Oceanside, NY
1/29/2019,2000000,F,Dumas, AR
1/15/2019,1000000,M,East Moline, IL
1/1/2019,1000000,M,Bayside, NY
12/14/2018,4000000,M,Tohajiilee, NM
12/11/2018,1000000,F,Brooklyn, NY
12/4/2018,1000000,M,Loreauville, LA
11/30/2018,3000000,F,Springfield, OR
10/30/2018,1000000,F,Grosse Pointe Woods, MI
10/30/2018,2000000,F,Flint, MI
10/23/2018,1000000,Mixed,Mount Pleasant, MI
10/23/2018,1000000,Mixed,Hudsonville, MI
10/23/2018,1000000,M,Milan, IL
10/23/2018,1000000,F,Aylett, VA
10/23/2018,1000000,F,Dartmouth, MA
10/19/2018,1000000,Mixed,Eden, NC
10/16/2018,1000000,M,Dawson Springs, KY
10/12/2018,3000000,Mixed,Sheridan, AR
10/9/2018,1000000,Mixed,Aurora, CO
10/5/2018,1000000,F,Elizabethtown, KY
8/24/2018,2000000,Mixed,Fairfield, CT
8/10/2018,1000000,Unk,Charles County, MD
7/24/2018,1000000,M,Long Pond, PA
7/24/2018,3000000,M,Winthrop, MA
6/15/2018,1000000,F,Indian Head, MD
5/11/2018,1000000,Mixed,Kansas City, MO
5/8/2018,1000000,F,Woodside, NY
5/4/2018,570123,Mixed,Los Angeles, CA
